Word,Conc
避孕,1.583333
编录,2.371429
步伐,2.027778
操场,1.194444
岔路,1.916667
抄查,2.848485
超龄,2.558824
赤字,2.666667
传播,2.888889
船舱,1.361111
大腿,1.277778
弹奏,2.055556
灯塔,1.472222
滴水,1.971429
掉换,2.944444
定夺,3.323529
斗嘴,2.166667
豆奶,1.194444
恩师,1.777778
法院,1.361111
封闭,2.888889
苟同,3.885714
挂钟,1.361111
棺材,1.222222
管道,1.611111
光圈,2.75
广义,4.15625
锅炉,1.527778
还有,3.625
黑客,2.472222
欢乐,2.888889
谎言,3.138889
贿赂,2.25
浑蛋,3.114286
决定,2.771429
卡通,2.277778
开枪,1.6
客人,1.638889
空中,2.444444
拉力,3.114286
礼法,3.527778
礼堂,1.666667
利诱,3.472222
连续,3.457143
零时,2.166667
领情,3.277778
龙门,3.807692
沦陷,3.454545
落泪,1.583333
朦胧,3.944444
迷惑,3.628571
绵羊,1.361111
那年,3.416667
浓缩,3.194444
皮毛,2.228571
匹夫,3.314286
票房,2.361111
评测,2.833333
气窗,2.484848
千金,2.542857
抢夺,2.583333
轻视,3.111111
圈子,3.457143
泉水,1.472222
热力,3.060606
入选,2.722222
鲨鱼,1.285714
上司,1.888889
生还,2.944444
圣火,2.638889
实在,3.285714
柿子,1.111111
收支,2.361111
挑夫,2.083333
通车,2.285714
退出,2.470588
网址,1.777778
望见,3.147059
蜗牛,1.257143
戏弄,3.555556
细胞,1.972222
下限,3.5
校友,1.611111
心病,3.705882
辛酸,3.485714
许愿,3.305556
蓄意,3.485714
漩涡,2.352941
牙缝,2.055556
仪式,3.027778
疫区,2.5
优化,3.583333
有机,3.363636
余兴,3.866667
渔船,1.277778
舆论,3.277778
原告,1.6
宰割,3.205882
造成,3.411765
樟脑,1.818182
昭示,3.205882
着重,3.527778
针对,3.285714
砧板,1.411765
争论,2.805556
蒸馏,2.314286
正方,2.771429
正规,3.0
纸杯,1.333333
智能,3.388889
钟情,3.529412
主人,2.0
主意,3.194444
主宰,3.166667
琢磨,3.527778
姊妹,1.555556
棕榈,1.676471
最终,3.1875
安心,3.277778
包揽,3.416667
包扎,1.583333
